,business_status,geometry,icon,icon_background_color,icon_mask_base_uri,name,opening_hours,photos,place_id,plus_code,rating,reference,scope,types,user_ratings_total,vicinity,price_level,permanently_closed
0,OPERATIONAL,"{'location': {'lat': 45.4245258, 'lng': 11.8520522}, 'viewport': {'northeast': {'lat': 45.4258456302915, 'lng': 11.8533701302915}, 'southwest': {'lat': 45.4231476697085, 'lng': 11.8506721697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/generic_business-71.png,#7B9EB0,https://maps.gstatic.com/mapfiles/place_api/icons/v2/generic_pinlet,Pizzeria Mister Tambourine Man,{'open_now': True},"[{'height': 4016, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/114165197870215986232"">Pizzeria Mister Tambourine Man</a>'], 'photo_reference': 'ATKogpdPGtyGj1rqoXVgy1u3i_jXiMVEtgXkjuIWD-wOAx52pye-hmgn8T0nQatoMFD4-i3oaT4Y4kEX9UEh-NN-TAwb9jrwwKSH5wGl_AiZC0DP_RidYfEVT3ti7yz8vol-qVyhB92wMMMjiKjelpFrLj1EocO-2BdhyxZhenciaZmfHzc1nW6FteyDWS_TsDSzSSD6rLvtpB1JaRYOAkmTqd_5GSPkUmc_pVFnvKiRJBTPDYuz5Iwj24NdzBSO1pw8dqOOCnMxXPQjEyKyA9sldIjWFgO4GfLzQKpOc4MkGFe0T0bestyEFUaD3TRweTID6QlOBV1wvgA', 'width': 5020}]",ChIJO5TZRBnafkcR6CgGBoQEq2s,"{'compound_code': 'CVF2+RR Padua, Province of Padua, Italy', 'global_code': '8FQHCVF2+RR'}",3.8,ChIJO5TZRBnafkcR6CgGBoQEq2s,GOOGLE,"['meal_delivery', 'restaurant', 'food', 'point_of_interest', 'establishment']",231.0,"Via Montà, 86/3, Padova",,
1,OPERATIONAL,"{'location': {'lat': 45.4236759, 'lng': 11.8530543}, 'viewport': {'northeast': {'lat': 45.4250993302915, 'lng': 11.8544779802915}, 'southwest': {'lat': 45.4224013697085, 'lng': 11.8517800197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,La Pizzeria Maxim,{'open_now': False},"[{'height': 2992, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117155481747353052711"">Nico Frasson</a>'], 'photo_reference': 'ATKogpebzjnrpDn0tf7TjYk7YfZU1PCXJx-Iuggp2ETkAQzPflIIPT4ft8ONKJmdoLf9XSKzIrLU98ShZvd2upNM0_PJRCqpY67QPmpTgbDhf6DgB7LW8otrZreKX3JCxdgYEAMTSekP7pd6xmNi9LN0zgZ8GLpY5kGI6JM-60i15haDjtwyW_bmen4jL45RDcSF-tlN_Jy5Jih8n4KeH9n0t2N_L-b_Qpx0KCXUgc3Rxb1S8Q1b1gnKyHAyFdAHNYDwbngGEMSOMrnawrMyTsEzcYSMc7pzNS1S8U_KFZ1SGdpknW8-bLM-n28SMTTKsdHip5Ycxpr3_PNxKyr0aPcmuBgH5paMtCmBhDYve3YnkyeWHnzdApMri3VcTLq03AzaEn5t9zMDWwkPLuOE3sQhgF5e8RtQbzL222ADZT6Sfbpo8d1Vd_r8ZNU3KMhNbWf5F87h9RFhSRa5OfCH2uSYsoP51cbSxziGO7gg5A-kMYDGhiDWmKn88j6M6UxdFxnH4pyO-YkLq0J7u1CuqMuVnH-h7lVYd_CGggDkvAXWNi3CNjGZ8VUgWKL5lYt6oXH0im1x_cF4nHvKnS-ZexeagEj9HX0T6sZKeSc0-uHvVJ3VCILNjbU6LxgFxKSqWihAn7blMg', 'width': 4000}]",ChIJjQsPbBnafkcRrgTNIgVSN70,"{'compound_code': 'CVF3+F6 Padua, Province of Padua, Italy', 'global_code': '8FQHCVF3+F6'}",4.5,ChIJjQsPbBnafkcRrgTNIgVSN70,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",897.0,"Via Montà, 113, Padova",2.0,
2,OPERATIONAL,"{'location': {'lat': 45.4232038, 'lng': 11.8539934}, 'viewport': {'northeast': {'lat': 45.4247113802915, 'lng': 11.8551240302915}, 'southwest': {'lat': 45.4220134197085, 'lng': 11.8524260697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/bar-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/bar_pinlet,Sir Francis Drake Pub Brewery,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/100584605702158954562"">Edoardo De Bei</a>'], 'photo_reference': 'ATKogpcC-6ZWwOvHWkCoPdX8rM9RiqaZWHDlFcaf-O21H4O1TKh4HoEVPa1vCgVSjApVyhiy_59gReqWVVhmEa-xDUBAFi8W1xP9-uzJOyDv4lReW_GczsOb10X561AZMPOY7M03KrlLrFdmf_s_uMLykTUEOxht7sjg_qQy4cSL8C7jH9jweTWbO95ZjFG127AmM7e7K06lMlBkbqcI-EjPlFhybsmdsCwvD0lniAGfoEc8deBIxxBOgOig4jHAu3g8SezGxuycLNTtIPHjjaPfC9vYX1kjddwtAN-7GYNPAKVbdDOp-83zvE4FUMiTmmcNZ4aSAdeuY2DUdzkQ5UPNYKKHOUENER2lGkS8dIL0r-FznCVaoOfPpANXg8Dx95GfPBlbilxA49JoVsQ1Ki1m4FzklFb5bIp_1cKbFuiQIkN03yrAw9FQHrFBFUUdAbWqxrmbAmQvHrZ1O65NeCfeFqVAr9FjyRgNyucLygxLGolZwFdBdnSs-snOrmw29qUuDIkWuwI1_FqonUXTMYWj1xKUNeDZcLtrVhI5K3wWOODNVFPab2nqFA-O8Q1llOEzTphzy1Ubvs1F2N2OhB9bHoSe5iG0SJ2sV0TYxU8vLiyH_8qFW7eWPRXvNF_RW2gknBHtTw', 'width': 4032}]",ChIJYz3noBnafkcRjsTuGftkEd4,"{'compound_code': 'CVF3+7H Padua, Province of Padua, Italy', 'global_code': '8FQHCVF3+7H'}",4.5,ChIJYz3noBnafkcRjsTuGftkEd4,GOOGLE,"['bar', 'restaurant', 'food', 'point_of_interest', 'establishment']",1067.0,"Via Montà, 101, Padova",2.0,
3,OPERATIONAL,"{'location': {'lat': 45.4226268, 'lng': 11.8551915}, 'viewport': {'northeast': {'lat': 45.4240240302915, 'lng': 11.8565945802915}, 'southwest': {'lat': 45.42132606970851, 'lng': 11.8538966197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Pizzasporto Al Posto Giusto,{'open_now': False},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/115670978321369335784"">Pizzasporto Al Posto Giusto</a>'], 'photo_reference': 'ATKogpd1YSuZJwOVVukWPTZZqgbv-wDTpXAE6cn5QguPodOcaiCEzjfA7DeY2TPjPCsuRsAy75h5YldmAxAqH2yoQ2UGHTrxOMmSWCPpamhuGa-qEqmHWUCZRsWd6fbQHdgvt2SRfRQznP7yzjmcIr-8ltPKXPWzo5MAtTAJ_bAUfnog30_pABtx6sPmv8xgZzsnlqkSaql6Vfu9WLYhCNgggzdnWOdq_M90SOUXZQ_Thrcc4QCQP2Cbv0yMHeH7w4_uiUNtfGzJWaieQ9jlp4ZV5oAa9XknwjzDi4lZIjFz7PP2XmcH9zaXW5TODKiHBgf4tBUPFO-fKMM', 'width': 4032}]",ChIJrcD1rDnafkcR-LBetpeYpys,"{'compound_code': 'CVF4+33 Padua, Province of Padua, Italy', 'global_code': '8FQHCVF4+33'}",4.3,ChIJrcD1rDnafkcR-LBetpeYpys,GOOGLE,"['meal_takeaway', 'restaurant', 'food', 'point_of_interest', 'establishment']",118.0,"Al Posto Giusto, Via Montà, 79/A, Padova",,
4,OPERATIONAL,"{'location': {'lat': 45.42105099999999, 'lng': 11.8573417}, 'viewport': {'northeast': {'lat': 45.4224383802915, 'lng': 11.8586069802915}, 'southwest': {'lat': 45.4197404197085, 'lng': 11.85590901970849}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,HAZ pizza e cucina,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111926438284156912972"">HAZ pizza e cucina</a>'], 'photo_reference': 'ATKogpeZ4o3t-03feGRys_WIpzPrOpOoniUxqWz6dwpXiI0bZvMxNcihK8u-zJ0FjXanvPtQHzvKX47swi7XqlqU-7lkU-swLz5Q6uikNdFmYorGLVrNEmmr-RyBDjTtHykjPVOt0HZWS1easP8SnjZ2DYdR-n5ynKOk83K2omICSiBLKLZYjQur3qPpxZR3OB8CBNlZi_SXG6eYr3YJN8KLxlLUNQCzyhx0JMFwE7lpN6UaEotHvGq30VCUMKKOz0Bg-4zs_I6Dmh9A7tn9MggkXiizU6ZM_KnotvymL9mWSqxhJg_PxqOXOpVwmBi_cOfARus1MklBV1A', 'width': 3264}]",ChIJyzXVtVzbfkcRCwDzudDB3Ps,"{'compound_code': 'CVC4+CW Padua, Province of Padua, Italy', 'global_code': '8FQHCVC4+CW'}",4.5,ChIJyzXVtVzbfkcRCwDzudDB3Ps,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",538.0,"Via Montà, 49, Padova",1.0,
5,OPERATIONAL,"{'location': {'lat': 45.4213013, 'lng': 11.8578207}, 'viewport': {'northeast': {'lat': 45.4226697802915, 'lng': 11.8591304302915}, 'southwest': {'lat': 45.4199718197085, 'lng': 11.8564324697085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Ristorante DOZO,{'open_now': True},"[{'height': 3024, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/111799888160680029917"">Ristorante DOZO</a>'], 'photo_reference': 'ATKogpcOriC_v-ArBzReb_fuaZ0uT4W65XQ4FnGmH0BbLzfIqiG9dNxCsL9LIWR4tj3inaGHIwdLZ8Gank7F7qUJcIv6HI2AOOZcHHJKBGyZCFXlO3M80xaaJTqEnmb2d83_yE4wrVhycAQKuTZbrqMPA1C8V5kL7mvIPy4CA6_4FpX_9v5Ct13AtIrJoLWOAfgbfdoLXhA0z6-4AeFUtjcFVrpQXhGExRsCmue4_AreHJaaTopgKOLctbYCIYDFZPjxABXXf9h-38y1tXhM6pswXQPN2mo3n4swpt2WHqg_GNSJkEU9f99UZuoUb7D820PFUA84A20FvAk', 'width': 4032}]",ChIJLVttLADbfkcReZAAHFBPM5o,"{'compound_code': 'CVC5+G4 Padua, Province of Padua, Italy', 'global_code': '8FQHCVC5+G4'}",4.7,ChIJLVttLADbfkcReZAAHFBPM5o,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",81.0,"Via Montà, 49, Padova",,
8,OPERATIONAL,"{'location': {'lat': 45.4160181, 'lng': 11.859612}, 'viewport': {'northeast': {'lat': 45.41733368029149, 'lng': 11.8609655802915}, 'southwest': {'lat': 45.41463571970849, 'lng': 11.8582676197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Top Fast Food Srl,{'open_now': False},,ChIJl3vTPDzafkcRAyAafr-JZP0,"{'compound_code': 'CV85+CR Padua, Province of Padua, Italy', 'global_code': '8FQHCV85+CR'}",3.1,ChIJl3vTPDzafkcRAyAafr-JZP0,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",7.0,"Via Giuseppe Cesare Abba, 44, Padova",,
9,OPERATIONAL,"{'location': {'lat': 45.422028, 'lng': 11.874584}, 'viewport': {'northeast': {'lat': 45.42321088029151, 'lng': 11.8760083802915}, 'southwest': {'lat': 45.42051291970851, 'lng': 11.8733104197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/gas_station-71.png,#909CE1,https://maps.gstatic.com/mapfiles/place_api/icons/v2/gas_pinlet,Tamoil,{'open_now': True},"[{'height': 406, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/109876785932127104616"">Tamoil</a>'], 'photo_reference': 'ATKogpdtxukMWzfj9xL8rmkKiWY9obbLGi_TDwyaWwsW2UflSqr-3I-61Q_2-iYzBAr4EBd_N2OlQMsg_NPHe-tzUVjR_e_9w1AXo38JpCK2vQQd3RVbWHsUWKYk35nqVbq6M4qQO2ccEfJrMCO-fiOODchndaXfZ2hHcOfvFZlC1fQJ4PQX7g4q454NQvyKk_o2Qyir2Lr4L639w628N14otQVv5e5vnYYENvKcGA7adcDH5SSiqi72k-WNsOZIXlrcR5J40mBDCjsa1dteOEYTkHDnhvB8neVI3aRX_IEK_L9FGXGcM1xKIoOHBod7wmeifEpabjMLLGo', 'width': 720}]",ChIJQ9dn_GvafkcR4J9hBMPdoyk,"{'compound_code': 'CVCF+RR Padua, Province of Padua, Italy', 'global_code': '8FQHCVCF+RR'}",3.8,ChIJQ9dn_GvafkcR4J9hBMPdoyk,GOOGLE,"['gas_station', 'pharmacy', 'bar', 'restaurant', 'food', 'store', 'health', 'point_of_interest', 'establishment']",38.0,"Via Annibale da Bassano, 48, Padova",,
11,OPERATIONAL,"{'location': {'lat': 45.4198718, 'lng': 11.8702238}, 'viewport': {'northeast': {'lat': 45.4209733302915, 'lng': 11.8715184802915}, 'southwest': {'lat': 45.4182753697085, 'lng': 11.8688205197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,Qui Ristorante,{'open_now': False},"[{'height': 1080, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/101976687018971553204"">MICHELE PAGAN</a>'], 'photo_reference': 'ATKogpeZGLqyrrIvlTUjb_XQEJ1axVyIE2A9HXsjzv6RnGw6YsMup75Kn2NuX6VzxQWZmas3jKSYDCZ5N-MWK2UctVjjsAkIzKWvWeJvQPlmCIyhUS5PqQA2k_h-PL9tgOOTYWkYzpFcW_Z0warM3DqgdkUD7IR4PY_E9XqtIXJWB3uLk83DZQ-bxCCLNARtAiO4Y38-b-1TLn7debNU4LpIQBRNOdGPMGVGQTbnk8BtiOl1jf4GU1KzQ5y3KJCAWDXQNC_62jJ1rl24fxUk_GCif0gnDkFybNQaoUuncAism-e8UnKAvk7ijz36qrHQCRR5jvll-KUjDGD4c9z2rCYXkH4Y_yD682vViVQV4-G8BLVZRxOfegtDWEFpr-jAbPZ8Un5IS1Uosd7qlRV0a6aSiVVJnDc5rq6KIzTw4QqVSFgR2MVDyHQIMsq_MUAY_Tt_bm3o69krB0hfm3NsROQaSto8gRKFqnLyWlce3yC1IiYBuQlS5KDE0tzUI4WN9cYcFSoCu9YBb6CnM6Zi5e5PhrA6bo_aXPTA_McDsHYjLYmvVx3GsfLKxuxLb81gQuD6zUsDKxoGmgcvHAOSGDCMNpB3Dh7j_nHoJ8Cqm0dwM8AuCtVQ7nv6Iw5jSenWu1NXq5gaOA', 'width': 1920}]",ChIJCUXJ72rafkcR-n9YUSo-9n8,"{'compound_code': 'CV9C+W3 Padua, Province of Padua, Italy', 'global_code': '8FQHCV9C+W3'}",4.3,ChIJCUXJ72rafkcR-n9YUSo-9n8,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",20.0,"Cavalcavia Dalmazia, Padova",,
12,OPERATIONAL,"{'location': {'lat': 45.41893, 'lng': 11.8669624}, 'viewport': {'northeast': {'lat': 45.4201897302915, 'lng': 11.8685273802915}, 'southwest': {'lat': 45.4174917697085, 'lng': 11.8658294197085}}}",https://maps.gstatic.com/mapfiles/place_api/icons/v1/png_71/restaurant-71.png,#FF9E67,https://maps.gstatic.com/mapfiles/place_api/icons/v2/restaurant_pinlet,McDonald's Padova Sarpi,{'open_now': True},"[{'height': 2448, 'html_attributions': ['<a href=""https://maps.google.com/maps/contrib/117515165542493298581"">Sergio Biasio</a>'], 'photo_reference': 'ATKogpejOVyGDK0fR0Ef-iUWwzWPH8yVIRY8Hb89EqZgxU5aga3eHE21GVBtOIyhLBgYmEXbGLQwwDnkJYa97nQuXNRKjdPvoX7nu7eQTZKxG2jtyWYJyb7eOGGooDLsDrj975aeakkzGIDNaQj2653b-ICxTxcdrgxGLlTtSrYOeMC9dbXM-ckNpznLQH4rllyR6wf2E_MIrr7lz_bp2zZAtA3WHeZSPUVwhEhtirSPIVqQbeX9r7ePTgrLBNUIjbe8ZY-UmwHznFUoq08TNPYboXnRFr7B5QzJ70vdG1G5-uOE_pPgUSk2-wXxH7c4wRpygJS4-OKbZljpy1bXRPFUPDs4mlTo7lsA0sJ0s8qv1ua5xl7gyrlssRfsVnUdqyXu3dzUBmXJQpUOsLL1GZBx5u39vVZha4Lu0o5G_WWKmVIDEE8gaGR8ClE8ntQbAfKWDjaMTySSWBlcoHH7t6buHC3NiB5ny7ClowCs23xU8VaMTRPXU9BzZ_7udRWRq1g0puwhG2sXHHM6uPyFOuXzxa2hKwPIKho78rysadUJOIwSp_5T9hUV1FM49Q0X3HL4abFAhicByyaxM38j5GpARb38U9d3CfTKYdkT8NsNB7GECg0en7dyNHfa4Hw6KU3rMr_HVA', 'width': 3264}]",ChIJ2cAMchzbfkcRQ1IHPKq7ZbQ,"{'compound_code': 'CV98+HQ Padua, Province of Padua, Italy', 'global_code': '8FQHCV98+HQ'}",3.8,ChIJ2cAMchzbfkcRQ1IHPKq7ZbQ,GOOGLE,"['restaurant', 'food', 'point_of_interest', 'establishment']",923.0,"Via fra' Paolo Sarpi, 78, Padova",1.0,
